"","optimus_id","age","vh14p","vh12g","vote","prob"
"1",861681,69,"0","0",1,0.499845970595306
"2",1084850,20,"0","0",0,0.00568445261619809
"3",644435,28,"0","0",0,0.0122938881408654
"4",57683,78,"0","0",0,0.0143061437670939
"5",167371,68,"0","0",1,0.446084372293828
"6",974034,69,"0","0",0,0.10625608317266
"7",660415,53,"0","0",0,0.0167895382395096
"8",313964,36,"0","0",0,0.173455995554731
"9",720804,53,"0","0",0,0.175291674589786
"10",547190,30,"0","0",0,0.283640452614529
"11",960468,30,"0","0",0,0.00637651432316275
"12",981530,49,"0","0",0,0.00773802273710673
"13",588688,47,"0","0",0,0.185198170122946
"14",876200,47,"0","0",0,0.153365585205469
"15",548469,65,"0","0",0,0.0225910337588429
"16",411609,66,"0","1",1,0.95977383424844
"17",941281,73,"0","0",0,0.035882306057746
"18",234208,26,"0","0",0,0.00417099069243765
"19",597777,37,"0","0",0,0.00676172477341945
"20",274336,44,"0","1",1,0.918182732200828
"21",198876,26,"0","0",0,0.0151494391518049
"22",14339,67,"0","0",0,0.0208983082362774
"23",179933,65,"0","1",1,0.532636158575527
"24",564484,46,"0","0",0,0.00703254052302852
"25",11866,64,"0","0",0,0.266291467359251
"26",200686,44,"0","0",0,0.0215753844383644
"27",58953,60,"0","1",1,0.657404993493242
"28",796126,35,"0","0",1,0.400667400140205
"29",362076,54,"0","0",0,0.00854689555976541
"30",421768,25,"0","0",0,0.00782908085160978
"31",966514,77,"0","0",0,0.0233329537610813
"32",1064390,76,"1","1",1,0.996208662216981
"33",838230,30,"0","0",0,0.00929966813560601
"34",755035,84,"0","0",0,0.0269368571928635
"35",1072885,34,"0","0",0,0.339721877635675
"36",420837,39,"0","0",0,0.00676328286816712
"37",1082391,72,"0","0",1,0.781638763897926
"38",227120,25,"0","0",0,0.00984041478117958
"39",311035,28,"0","0",0,0.0061981638506856
"40",363704,65,"0","0",1,0.520088551994723
"41",456756,55,"0","0",0,0.28593087879843
"42",42840,61,"0","0",1,0.476836694724279
"43",799729,61,"0","1",1,0.982054658604383
"44",726283,55,"0","1",1,0.449438038160344
"45",583915,74,"1","1",1,0.995630766066651
"46",308032,62,"0","0",0,0.0110387147645307
"47",168505,39,"0","0",0,0.195416482392735
"48",735259,58,"0","0",0,0.0301748207352039
"49",66912,57,"0","0",1,0.503023552223186
"50",662823,70,"0","1",1,0.522223616029986
"51",1019730,44,"0","1",0,0.172661190404802
"52",61697,66,"0","0",0,0.030308755765309
"53",57229,40,"0","0",0,0.0110965419759343
"54",741505,63,"0","0",0,0.0323614522626481
"55",132125,65,"0","0",1,0.579881780922714
"56",600740,43,"0","0",0,0.258795632362168
"57",51709,52,"0","0",0,0.0103600685867837
"58",915317,43,"0","0",0,0.0145696648098203
"59",202936,41,"0","0",0,0.0137964222164703
"60",449898,47,"0","0",0,0.0102816518548228
"61",379526,71,"0","0",0,0.021667944533793
"62",27820,42,"0","0",0,0.015916746783698
"63",243999,67,"0","1",1,0.550828060910271
"64",61526,79,"1","1",1,0.893141367116148
"65",711608,67,"0","0",1,0.50438223044741
"66",1099236,54,"1","1",1,0.878354968339951
"67",260402,83,"0","0",1,0.48796058080466
"68",1023858,44,"1","1",1,0.83890816415973
"69",753700,42,"0","0",0,0.0103065177292954
"70",142804,35,"1","1",1,0.757885223274051
"71",546853,64,"0","0",0,0.00958315516712923
"72",747099,76,"0","1",1,0.443657760812156
"73",739242,73,"0","0",1,0.553480681153183
"74",692258,42,"0","0",0,0.00921525574817578
"75",172373,53,"1","1",1,0.798682678162043
"76",151098,50,"0","0",0,0.00587358649118052
"77",854958,66,"0","1",1,0.96637629867794
"78",943670,58,"0","0",0,0.0149822006230952
"79",86126,32,"0","0",0,0.00446186917383113
"80",720210,53,"0","1",1,0.454665471166003
"81",75620,47,"0","0",0,0.19705086887999
"82",703290,21,"0","0",0,0.0118989383275833
"83",1068845,63,"0","1",1,0.936552631326225
"84",34894,81,"1","1",1,0.994176410871092
"85",1030349,53,"0","0",0,0.219626326462893
"86",1012764,76,"0","0",1,0.562135366402743
"87",689193,51,"0","0",0,0.0094242029139001
"88",945461,27,"0","0",0,0.0193028528739694
"89",396369,52,"0","0",0,0.146795504770716
"90",1072971,84,"1","1",1,0.994569782701672
"91",1021885,48,"0","0",0,0.161358303883372
"92",50902,36,"0","0",1,0.421265128364018
"93",150818,38,"0","0",0,0.00645215153627071
"94",566310,36,"0","0",0,0.00524891735495546
"95",23490,30,"0","0",0,0.00836848354490953
"96",595403,37,"0","0",0,0.327850689375116
"97",849434,60,"0","0",0,0.0147574779323819
"98",169226,36,"0","0",0,0.0161304085576071
"99",523717,52,"0","0",0,0.00958288084798897
"100",719325,66,"0","0",0,0.0251677227282207
"101",717194,59,"0","1",1,0.572476432349437
"102",171279,33,"0","0",0,0.0066128079749852
"103",573030,21,"0","0",0,0.00471951753694193
"104",72707,29,"0","0",0,0.00826165526325299
"105",124045,42,"0","0",1,0.507488985435716
"106",995295,19,"0","0",0,0.00578893122945541
"107",335951,70,"0","1",1,0.523583504812388
"108",804665,39,"0","1",1,0.623079522577901
"109",856994,75,"0","0",0,0.014262536658453
"110",133914,28,"0","0",0,0.0106839484760356
"111",731305,54,"0","0",0,0.103922124199849
"112",1029373,21,"0","0",0,0.0108336495825301
"113",329879,62,"0","0",0,0.21691629916004
"114",108075,38,"0","0",0,0.00532177755038404
"115",789063,23,"0","0",0,0.00966811315754685
"116",362305,78,"0","0",1,0.414470162636321
"117",814191,47,"0","0",0,0.0182828382814616
"118",557319,41,"0","0",0,0.0470703515130088
"119",805034,39,"0","1",1,0.973331974105192
"120",1079098,55,"0","0",1,0.978530388758189
"121",673469,49,"0","1",0,0.297271112641319
"122",165316,68,"0","1",1,0.609832462854071
"123",374348,39,"0","0",0,0.00719710094801866
"124",1031430,65,"0","1",1,0.983847053058532
"125",776516,75,"0","0",0,0.0528923499452599
"126",1071391,51,"0","0",0,0.0128655706235497
"127",1098061,51,"0","0",0,0.0268467714446886
"128",817707,74,"0","1",1,0.957018636186651
"129",1052224,56,"0","0",1,0.56528582354627
"130",1003000,60,"0","0",0,0.0460297460367373
"131",989406,27,"0","0",0,0.00846993886307235
"132",304427,30,"0","0",0,0.0253223805064451
"133",261257,68,"0","0",1,0.663926358415976
"134",866444,82,"0","0",0,0.0119940150683856
"135",79611,83,"0","1",1,0.977895595771037
"136",857371,70,"0","0",0,0.109441423491113
"137",981988,44,"0","0",0,0.338369559827557
"138",786722,67,"0","0",0,0.0389887967521313
"139",114075,74,"0","0",1,0.636505985429669
"140",975656,78,"0","0",0,0.0361914832607327
"141",823548,26,"0","0",0,0.0112010950256036
"142",39346,41,"0","0",0,0.343241431451439
"143",1095531,85,"0","0",0,0.0308388336307907
"144",369137,66,"0","0",0,0.0279506802533317
"145",760398,22,"0","0",0,0.00641332182745174
"146",544259,68,"0","0",0,0.0131385236390365
"147",262979,69,"0","1",1,0.530478823176971
"148",681863,43,"0","1",0,0.247632796046601
"149",353358,30,"0","0",0,0.0756957748793594
"150",863795,35,"0","1",0,0.38998284201764
"151",180157,75,"0","0",0,0.0265078409665115
"152",266388,71,"0","0",0,0.022224760196503
"153",263715,79,"0","0",0,0.039038343708937
"154",219864,37,"0","0",0,0.00833035044288225
"155",241693,58,"0","1",1,0.408779742599354
"156",69596,46,"0","0",0,0.388550943433296
"157",144650,69,"0","0",0,0.324281816090446
"158",609883,24,"0","0",0,0.0083577315881055
"159",572857,33,"0","0",0,0.00818353551344485
